Category: All categories

Day,European Central Bank: (Worldwide)
2012-01-01,26
2012-01-02,34
2012-01-03,59
2012-01-04,50
2012-01-05,61
2012-01-06,44
2012-01-07,36
2012-01-08,41
2012-01-09,67
2012-01-10,46
2012-01-11,52
2012-01-12,100
2012-01-13,66
2012-01-14,24
2012-01-15,23
2012-01-16,59
2012-01-17,49
2012-01-18,49
2012-01-19,64
2012-01-20,55
2012-01-21,29
2012-01-22,32
2012-01-23,43
2012-01-24,48
2012-01-25,51
2012-01-26,61
2012-01-27,52
2012-01-28,17
2012-01-29,39
2012-01-30,51
2012-01-31,56
