Category: All categories

Month,European Central Bank: (Worldwide)
2012-01,59
2012-02,60
2012-03,52
2012-04,47
2012-05,55
2012-06,53
2012-07,58
2012-08,51
2012-09,71
2012-10,47
2012-11,45
2012-12,36
2013-01,43
2013-02,45
2013-03,41
2013-04,47
2013-05,48
2013-06,41
2013-07,34
2013-08,28
2013-09,36
2013-10,38
2013-11,50
2013-12,35
2014-01,42
2014-02,42
2014-03,38
2014-04,39
2014-05,44
2014-06,65
2014-07,35
2014-08,31
2014-09,50
2014-10,56
2014-11,46
2014-12,40
2015-01,100
2015-02,52
2015-03,96
2015-04,50
2015-05,40
2015-06,48
2015-07,45
2015-08,26
2015-09,32
2015-10,37
2015-11,36
2015-12,42
2016-01,35
2016-02,35
2016-03,62
2016-04,41
2016-05,35
2016-06,40
2016-07,33
2016-08,25
2016-09,33
2016-10,32
2016-11,31
2016-12,43
2017-01,40
2017-02,37
2017-03,44
2017-04,35
2017-05,40
2017-06,42
2017-07,38
2017-08,28
2017-09,39
2017-10,45
2017-11,39
2017-12,34
2018-01,43
2018-02,41
2018-03,38
2018-04,38
2018-05,38
2018-06,47
2018-07,31
2018-08,30
2018-09,34
2018-10,36
2018-11,34
2018-12,33
2019-01,37
2019-02,27
2019-03,33
2019-04,33
2019-05,32
2019-06,37
2019-07,47
2019-08,33
2019-09,57
2019-10,39
2019-11,36
2019-12,32
2020-01,39
2020-02,35
2020-03,73
2020-04,45
2020-05,46
2020-06,41
2020-07,32
2020-08,25
2020-09,33
2020-10,31
2020-11,29
2020-12,34
2021-01,33
2021-02,37
2021-03,36
2021-04,33
2021-05,31
2021-06,32
2021-07,31
2021-08,21
