date,draghi_unscaled,draghi_monthly,scale_factor,draghi
2012-01-01,1,28.0,0.28,0.28
2012-01-02,1,28.0,0.28,0.28
2012-01-03,101,28.0,0.28,28.28
2012-01-04,1,28.0,0.28,0.28
2012-01-05,1,28.0,0.28,0.28
2012-01-06,1,28.0,0.28,0.28
2012-01-07,1,28.0,0.28,0.28
2012-01-08,1,28.0,0.28,0.28
2012-01-09,1,28.0,0.28,0.28
2012-01-10,1,28.0,0.28,0.28
2012-01-11,1,28.0,0.28,0.28
2012-01-12,1,28.0,0.28,0.28
2012-01-13,101,28.0,0.28,28.28
2012-01-14,1,28.0,0.28,0.28
2012-01-15,1,28.0,0.28,0.28
2012-01-16,1,28.0,0.28,0.28
2012-01-17,96,28.0,0.28,26.880000000000003
2012-01-18,95,28.0,0.28,26.6
2012-01-19,1,28.0,0.28,0.28
2012-01-20,1,28.0,0.28,0.28
2012-01-21,1,28.0,0.28,0.28
2012-01-22,1,28.0,0.28,0.28
2012-01-23,1,28.0,0.28,0.28
2012-01-24,1,28.0,0.28,0.28
2012-01-25,1,28.0,0.28,0.28
2012-01-26,1,28.0,0.28,0.28
2012-01-27,1,28.0,0.28,0.28
2012-01-28,1,28.0,0.28,0.28
2012-01-29,1,28.0,0.28,0.28
2012-01-30,1,28.0,0.28,0.28
2012-01-31,1,28.0,0.28,0.28
2012-02-01,1,18.0,0.18,0.18
2012-02-02,1,18.0,0.18,0.18
2012-02-03,1,18.0,0.18,0.18
2012-02-04,1,18.0,0.18,0.18
2012-02-05,101,18.0,0.18,18.18
2012-02-06,1,18.0,0.18,0.18
2012-02-07,1,18.0,0.18,0.18
2012-02-08,1,18.0,0.18,0.18
2012-02-09,83,18.0,0.18,14.94
2012-02-10,1,18.0,0.18,0.18
2012-02-11,1,18.0,0.18,0.18
2012-02-12,1,18.0,0.18,0.18
2012-02-13,1,18.0,0.18,0.18
2012-02-14,1,18.0,0.18,0.18
2012-02-15,1,18.0,0.18,0.18
2012-02-16,1,18.0,0.18,0.18
2012-02-17,1,18.0,0.18,0.18
2012-02-18,1,18.0,0.18,0.18
2012-02-19,1,18.0,0.18,0.18
2012-02-20,1,18.0,0.18,0.18
2012-02-21,1,18.0,0.18,0.18
2012-02-22,1,18.0,0.18,0.18
2012-02-23,1,18.0,0.18,0.18
2012-02-24,84,18.0,0.18,15.12
2012-02-25,1,18.0,0.18,0.18
2012-02-26,1,18.0,0.18,0.18
2012-02-27,1,18.0,0.18,0.18
2012-02-28,81,18.0,0.18,14.58
2012-02-29,1,18.0,0.18,0.18
2012-03-01,1,17.0,0.17,0.17
2012-03-02,1,17.0,0.17,0.17
2012-03-03,1,17.0,0.17,0.17
2012-03-04,1,17.0,0.17,0.17
2012-03-05,101,17.0,0.17,17.17
2012-03-06,1,17.0,0.17,0.17
2012-03-07,1,17.0,0.17,0.17
2012-03-08,94,17.0,0.17,15.98
2012-03-09,1,17.0,0.17,0.17
2012-03-10,1,17.0,0.17,0.17
2012-03-11,1,17.0,0.17,0.17
2012-03-12,1,17.0,0.17,0.17
2012-03-13,1,17.0,0.17,0.17
2012-03-14,1,17.0,0.17,0.17
2012-03-15,1,17.0,0.17,0.17
2012-03-16,1,17.0,0.17,0.17
2012-03-17,1,17.0,0.17,0.17
2012-03-18,1,17.0,0.17,0.17
2012-03-19,1,17.0,0.17,0.17
2012-03-20,1,17.0,0.17,0.17
2012-03-21,1,17.0,0.17,0.17
2012-03-22,1,17.0,0.17,0.17
2012-03-23,100,17.0,0.17,17.0
2012-03-24,1,17.0,0.17,0.17
2012-03-25,1,17.0,0.17,0.17
2012-03-26,1,17.0,0.17,0.17
2012-03-27,1,17.0,0.17,0.17
2012-03-28,1,17.0,0.17,0.17
2012-03-29,1,17.0,0.17,0.17
2012-03-30,1,17.0,0.17,0.17
2012-03-31,1,17.0,0.17,0.17
2012-04-01,101,18.0,0.18,18.18
2012-04-02,1,18.0,0.18,0.18
2012-04-03,1,18.0,0.18,0.18
2012-04-04,1,18.0,0.18,0.18
2012-04-05,1,18.0,0.18,0.18
2012-04-06,90,18.0,0.18,16.2
2012-04-07,1,18.0,0.18,0.18
2012-04-08,1,18.0,0.18,0.18
2012-04-09,1,18.0,0.18,0.18
2012-04-10,1,18.0,0.18,0.18
2012-04-11,79,18.0,0.18,14.219999999999999
2012-04-12,1,18.0,0.18,0.18
2012-04-13,1,18.0,0.18,0.18
2012-04-14,1,18.0,0.18,0.18
2012-04-15,1,18.0,0.18,0.18
2012-04-16,1,18.0,0.18,0.18
2012-04-17,1,18.0,0.18,0.18
