Category: All categories

Day,European Central Bank: (Germany)
2012-07-01,13
2012-07-02,17
2012-07-03,20
2012-07-04,28
2012-07-05,80
2012-07-06,35
2012-07-07,19
2012-07-08,22
2012-07-09,22
2012-07-10,11
2012-07-11,27
2012-07-12,9
2012-07-13,10
2012-07-14,12
2012-07-15,8
2012-07-16,9
2012-07-17,27
2012-07-18,14
2012-07-19,7
2012-07-20,18
2012-07-21,6
2012-07-22,15
2012-07-23,25
2012-07-24,15
2012-07-25,18
2012-07-26,21
2012-07-27,8
2012-07-28,16
2012-07-29,3
2012-07-30,32
2012-07-31,16
2012-08-01,20
2012-08-02,85
2012-08-03,16
2012-08-04,17
2012-08-05,20
2012-08-06,16
2012-08-07,9
2012-08-08,12
2012-08-09,7
2012-08-10,0
2012-08-11,3
2012-08-12,9
2012-08-13,19
2012-08-14,15
2012-08-15,5
2012-08-16,19
2012-08-17,16
2012-08-18,4
2012-08-19,10
2012-08-20,31
2012-08-21,14
2012-08-22,19
2012-08-23,12
2012-08-24,12
2012-08-25,6
2012-08-26,8
2012-08-27,16
2012-08-28,30
2012-08-29,14
2012-08-30,23
2012-08-31,10
2012-09-01,16
2012-09-02,14
2012-09-03,22
2012-09-04,21
2012-09-05,27
2012-09-06,100
2012-09-07,61
2012-09-08,16
2012-09-09,15
2012-09-10,18
2012-09-11,40
2012-09-12,34
2012-09-13,32
2012-09-14,31
2012-09-15,15
2012-09-16,14
2012-09-17,15
2012-09-18,11
2012-09-19,20
2012-09-20,27
2012-09-21,29
2012-09-22,6
2012-09-23,11
2012-09-24,10
2012-09-25,30
2012-09-26,24
2012-09-27,22
2012-09-28,22
2012-09-29,6
2012-09-30,13
