Category: All categories

Day,European Central Bank: (Germany)
2012-10-01,72
2012-10-02,70
2012-10-03,46
2012-10-04,39
2012-10-05,49
2012-10-06,34
2012-10-07,68
2012-10-08,58
2012-10-09,32
2012-10-10,33
2012-10-11,14
2012-10-12,55
2012-10-13,35
2012-10-14,15
2012-10-15,93
2012-10-16,51
2012-10-17,66
2012-10-18,40
2012-10-19,79
2012-10-20,44
2012-10-21,63
2012-10-22,19
2012-10-23,68
2012-10-24,44
2012-10-25,52
2012-10-26,61
2012-10-27,16
2012-10-28,36
2012-10-29,42
2012-10-30,37
2012-10-31,68
2012-11-01,47
2012-11-02,34
2012-11-03,8
2012-11-04,36
2012-11-05,60
2012-11-06,31
2012-11-07,87
2012-11-08,89
2012-11-09,68
2012-11-10,47
2012-11-11,43
2012-11-12,18
2012-11-13,31
2012-11-14,69
2012-11-15,25
2012-11-16,47
2012-11-17,41
2012-11-18,28
2012-11-19,78
2012-11-20,55
2012-11-21,75
2012-11-22,38
2012-11-23,41
2012-11-24,41
2012-11-25,57
2012-11-26,100
2012-11-27,73
2012-11-28,87
2012-11-29,25
2012-11-30,41
2012-12-01,25
2012-12-02,50
2012-12-03,90
2012-12-04,42
2012-12-05,25
2012-12-06,71
2012-12-07,67
2012-12-08,33
2012-12-09,28
2012-12-10,70
2012-12-11,72
2012-12-12,44
2012-12-13,44
2012-12-14,33
2012-12-15,48
2012-12-16,14
2012-12-17,71
2012-12-18,43
2012-12-19,58
2012-12-20,26
2012-12-21,22
2012-12-22,9
2012-12-23,8
2012-12-24,0
2012-12-25,61
2012-12-26,32
2012-12-27,14
2012-12-28,22
2012-12-29,25
2012-12-30,7
2012-12-31,19
