Category: All categories

Day,European Central Bank: (Worldwide)
2013-10-01,20
2013-10-02,29
2013-10-03,26
2013-10-04,17
2013-10-05,8
2013-10-06,11
2013-10-07,22
2013-10-08,17
2013-10-09,13
2013-10-10,25
2013-10-11,17
2013-10-12,7
2013-10-13,13
2013-10-14,21
2013-10-15,25
2013-10-16,18
2013-10-17,19
2013-10-18,18
2013-10-19,9
2013-10-20,9
2013-10-21,17
2013-10-22,21
2013-10-23,28
2013-10-24,29
2013-10-25,23
2013-10-26,10
2013-10-27,16
2013-10-28,21
2013-10-29,22
2013-10-30,18
2013-10-31,19
2013-11-01,22
2013-11-02,14
2013-11-03,11
2013-11-04,30
2013-11-05,29
2013-11-06,25
2013-11-07,100
2013-11-08,46
2013-11-09,26
2013-11-10,21
2013-11-11,29
2013-11-12,27
2013-11-13,32
2013-11-14,29
2013-11-15,21
2013-11-16,11
2013-11-17,16
2013-11-18,25
2013-11-19,25
2013-11-20,26
2013-11-21,23
2013-11-22,23
2013-11-23,10
2013-11-24,14
2013-11-25,31
2013-11-26,22
2013-11-27,32
2013-11-28,20
2013-11-29,16
2013-11-30,7
2013-12-01,14
2013-12-02,23
2013-12-03,25
2013-12-04,27
2013-12-05,39
2013-12-06,23
2013-12-07,7
2013-12-08,15
2013-12-09,20
2013-12-10,18
2013-12-11,24
2013-12-12,28
2013-12-13,15
2013-12-14,13
2013-12-15,17
2013-12-16,33
2013-12-17,16
2013-12-18,30
2013-12-19,21
2013-12-20,15
2013-12-21,7
2013-12-22,7
2013-12-23,13
2013-12-24,12
2013-12-25,8
2013-12-26,6
2013-12-27,14
2013-12-28,5
2013-12-29,11
2013-12-30,17
2013-12-31,9
