Category: All categories

Day,European Central Bank: (Worldwide)
2016-04-01,46
2016-04-02,24
2016-04-03,29
2016-04-04,48
2016-04-05,42
2016-04-06,43
2016-04-07,66
2016-04-08,39
2016-04-09,15
2016-04-10,24
2016-04-11,56
2016-04-12,33
2016-04-13,32
2016-04-14,40
2016-04-15,38
2016-04-16,27
2016-04-17,16
2016-04-18,46
2016-04-19,43
2016-04-20,54
2016-04-21,100
2016-04-22,43
2016-04-23,19
2016-04-24,34
2016-04-25,43
2016-04-26,36
2016-04-27,43
2016-04-28,53
2016-04-29,26
2016-04-30,16
2016-05-01,23
2016-05-02,43
2016-05-03,39
2016-05-04,47
2016-05-05,47
2016-05-06,38
2016-05-07,28
2016-05-08,25
2016-05-09,41
2016-05-10,42
2016-05-11,38
2016-05-12,35
2016-05-13,35
2016-05-14,23
2016-05-15,34
2016-05-16,32
2016-05-17,30
2016-05-18,43
2016-05-19,54
2016-05-20,27
2016-05-21,15
2016-05-22,30
2016-05-23,35
2016-05-24,42
2016-05-25,46
2016-05-26,36
2016-05-27,31
2016-05-28,24
2016-05-29,14
2016-05-30,32
2016-05-31,47
2016-06-01,53
2016-06-02,80
2016-06-03,39
2016-06-04,13
2016-06-05,27
2016-06-06,47
2016-06-07,48
2016-06-08,61
2016-06-09,61
2016-06-10,53
2016-06-11,22
2016-06-12,23
2016-06-13,53
2016-06-14,37
2016-06-15,37
2016-06-16,32
2016-06-17,19
2016-06-18,11
2016-06-19,30
2016-06-20,38
2016-06-21,55
2016-06-22,50
2016-06-23,59
2016-06-24,74
2016-06-25,36
2016-06-26,25
2016-06-27,50
2016-06-28,52
2016-06-29,50
2016-06-30,42
