Category: All categories

Day,European Central Bank: (Worldwide)
2016-07-01,34
2016-07-02,11
2016-07-03,15
2016-07-04,27
2016-07-05,41
2016-07-06,32
2016-07-07,27
2016-07-08,29
2016-07-09,9
2016-07-10,16
2016-07-11,25
2016-07-12,29
2016-07-13,31
2016-07-14,21
2016-07-15,16
2016-07-16,8
2016-07-17,15
2016-07-18,29
2016-07-19,35
2016-07-20,31
2016-07-21,75
2016-07-22,35
2016-07-23,14
2016-07-24,14
2016-07-25,25
2016-07-26,20
2016-07-27,19
2016-07-28,20
2016-07-29,25
2016-07-30,18
2016-07-31,11
2016-08-01,19
2016-08-02,30
2016-08-03,21
2016-08-04,22
2016-08-05,13
2016-08-06,12
2016-08-07,13
2016-08-08,24
2016-08-09,10
2016-08-10,20
2016-08-11,23
2016-08-12,8
2016-08-13,8
2016-08-14,11
2016-08-15,19
2016-08-16,24
2016-08-17,22
2016-08-18,25
2016-08-19,18
2016-08-20,11
2016-08-21,10
2016-08-22,22
2016-08-23,23
2016-08-24,20
2016-08-25,15
2016-08-26,23
2016-08-27,7
2016-08-28,10
2016-08-29,21
2016-08-30,28
2016-08-31,16
2016-09-01,19
2016-09-02,19
2016-09-03,12
2016-09-04,18
2016-09-05,30
2016-09-06,37
2016-09-07,30
2016-09-08,100
2016-09-09,37
2016-09-10,11
2016-09-11,10
2016-09-12,41
2016-09-13,27
2016-09-14,28
2016-09-15,25
2016-09-16,15
2016-09-17,9
2016-09-18,10
2016-09-19,26
2016-09-20,23
2016-09-21,31
2016-09-22,28
2016-09-23,16
2016-09-24,6
2016-09-25,15
2016-09-26,33
2016-09-27,27
2016-09-28,33
2016-09-29,33
2016-09-30,20
