Category: All categories

Day,European Central Bank: (Worldwide)
2021-07-01,50
2021-07-02,37
2021-07-03,24
2021-07-04,20
2021-07-05,43
2021-07-06,64
2021-07-07,59
2021-07-08,99
2021-07-09,76
2021-07-10,36
2021-07-11,23
2021-07-12,55
2021-07-13,60
2021-07-14,67
2021-07-15,72
2021-07-16,48
2021-07-17,21
2021-07-18,35
2021-07-19,54
2021-07-20,47
2021-07-21,50
2021-07-22,100
2021-07-23,75
2021-07-24,27
2021-07-25,23
2021-07-26,55
2021-07-27,40
2021-07-28,45
2021-07-29,51
2021-07-30,37
2021-07-31,23
2021-08-01,15
2021-08-02,36
2021-08-03,41
2021-08-04,39
2021-08-05,45
2021-08-06,38
2021-08-07,30
2021-08-08,24
2021-08-09,45
2021-08-10,36
2021-08-11,23
2021-08-12,36
2021-08-13,46
2021-08-14,19
2021-08-15,21
2021-08-16,41
2021-08-17,26
2021-08-18,41
2021-08-19,41
2021-08-20,29
2021-08-21,22
2021-08-22,20
2021-08-23,42
2021-08-24,22
2021-08-25,42
2021-08-26,54
2021-08-27,27
2021-08-28,43
2021-08-29,29
2021-08-30,42
2021-08-31,37
