Category: All categories

Month,European Central Bank: (Worldwide)
2012-01,62
2012-02,59
2012-03,52
2012-04,48
2012-05,54
2012-06,56
2012-07,58
2012-08,54
2012-09,72
2012-10,46
2012-11,44
2012-12,37
2013-01,46
2013-02,45
2013-03,43
2013-04,48
2013-05,52
2013-06,43
2013-07,36
2013-08,29
2013-09,35
2013-10,37
2013-11,50
2013-12,35
2014-01,42
2014-02,42
2014-03,39
2014-04,41
2014-05,43
2014-06,65
2014-07,37
2014-08,32
2014-09,53
2014-10,57
2014-11,48
2014-12,43
2015-01,100
2015-02,53
2015-03,98
2015-04,53
2015-05,41
2015-06,49
2015-07,47
2015-08,27
2015-09,36
2015-10,38
2015-11,37
2015-12,46
2016-01,36
2016-02,37
2016-03,60
2016-04,39
2016-05,33
2016-06,39
2016-07,32
2016-08,24
2016-09,34
2016-10,33
2016-11,32
2016-12,39
2017-01,41
2017-02,38
2017-03,45
2017-04,38
2017-05,41
2017-06,42
2017-07,37
2017-08,30
2017-09,42
2017-10,46
2017-11,37
2017-12,34
2018-01,41
2018-02,40
2018-03,37
2018-04,38
2018-05,36
2018-06,47
2018-07,30
2018-08,29
2018-09,36
2018-10,36
2018-11,34
2018-12,32
2019-01,40
2019-02,27
2019-03,31
2019-04,33
2019-05,33
2019-06,39
2019-07,48
2019-08,34
2019-09,57
2019-10,39
2019-11,38
2019-12,32
2020-01,37
2020-02,36
2020-03,74
2020-04,44
2020-05,49
2020-06,40
2020-07,34
2020-08,25
2020-09,33
2020-10,31
2020-11,33
2020-12,34
2021-01,33
2021-02,37
2021-03,37
2021-04,33
2021-05,31
2021-06,32
2021-07,30
2021-08,23
