Category: All categories

Week,Mario Draghi: (Italy)
2012-01-01,5
2012-01-08,19
2012-01-15,9
2012-01-22,2
2012-01-29,6
2012-02-05,4
2012-02-12,2
2012-02-19,7
2012-02-26,21
2012-03-04,5
2012-03-11,7
2012-03-18,9
2012-03-25,0
2012-04-01,5
2012-04-08,0
2012-04-15,9
2012-04-22,2
2012-04-29,27
2012-05-06,7
2012-05-13,7
2012-05-20,16
2012-05-27,16
2012-06-03,11
2012-06-10,5
2012-06-17,10
2012-06-24,10
2012-07-01,15
2012-07-08,12
2012-07-15,2
2012-07-22,42
2012-07-29,31
2012-08-05,11
2012-08-12,10
2012-08-19,14
2012-08-26,9
2012-09-02,31
2012-09-09,13
2012-09-16,11
2012-09-23,8
2012-09-30,4
2012-10-07,14
2012-10-14,8
2012-10-21,6
2012-10-28,13
2012-11-04,8
2012-11-11,6
2012-11-18,10
2012-11-25,14
2012-12-02,8
2012-12-09,16
2012-12-16,17
2012-12-23,7
2012-12-30,14
2013-01-06,14
2013-01-13,22
2013-01-20,11
2013-01-27,11
2013-02-03,10
2013-02-10,9
2013-02-17,22
2013-02-24,2
2013-03-03,6
2013-03-10,2
2013-03-17,45
2013-03-24,7
2013-03-31,14
2013-04-07,6
2013-04-14,13
2013-04-21,10
2013-04-28,6
2013-05-05,17
2013-05-12,13
2013-05-19,5
2013-05-26,6
2013-06-02,9
2013-06-09,8
2013-06-16,0
2013-06-23,2
2013-06-30,8
2013-07-07,8
2013-07-14,2
2013-07-21,6
2013-07-28,6
2013-08-04,7
2013-08-11,3
2013-08-18,4
2013-08-25,0
2013-09-01,4
2013-09-08,7
2013-09-15,7
2013-09-22,7
2013-09-29,9
2013-10-06,9
2013-10-13,7
2013-10-20,2
2013-10-27,5
2013-11-03,14
2013-11-10,5
2013-11-17,4
2013-11-24,2
2013-12-01,9
2013-12-08,9
2013-12-15,4
2013-12-22,11
2013-12-29,2
2014-01-05,7
2014-01-12,7
2014-01-19,5
2014-01-26,5
2014-02-02,5
2014-02-09,5
2014-02-16,5
2014-02-23,5
2014-03-02,2
2014-03-09,7
2014-03-16,3
2014-03-23,7
2014-03-30,17
2014-04-06,2
2014-04-13,5
2014-04-20,4
2014-04-27,3
2014-05-04,19
2014-05-11,5
2014-05-18,6
2014-05-25,19
2014-06-01,31
2014-06-08,6
2014-06-15,0
2014-06-22,4
2014-06-29,8
2014-07-06,6
2014-07-13,8
2014-07-20,0
2014-07-27,0
2014-08-03,21
2014-08-10,15
2014-08-17,9
2014-08-24,14
2014-08-31,63
2014-09-07,20
2014-09-14,13
2014-09-21,11
2014-09-28,22
2014-10-05,7
2014-10-12,18
2014-10-19,9
2014-10-26,11
2014-11-02,21
2014-11-09,14
2014-11-16,9
2014-11-23,11
2014-11-30,12
2014-12-07,9
2014-12-14,9
2014-12-21,4
2014-12-28,16
2015-01-04,11
2015-01-11,24
2015-01-18,83
2015-01-25,38
2015-02-01,11
2015-02-08,3
2015-02-15,7
2015-02-22,7
2015-03-01,20
2015-03-08,25
2015-03-15,5
2015-03-22,9
2015-03-29,5
2015-04-05,5
2015-04-12,100
2015-04-19,9
2015-04-26,7
2015-05-03,7
2015-05-10,10
2015-05-17,5
2015-05-24,5
2015-05-31,4
2015-06-07,2
2015-06-14,3
2015-06-21,7
2015-06-28,9
2015-07-05,19
2015-07-12,16
2015-07-19,4
2015-07-26,7
2015-08-02,2
2015-08-09,2
2015-08-16,2
2015-08-23,5
2015-08-30,10
2015-09-06,0
2015-09-13,3
2015-09-20,6
2015-09-27,11
2015-10-04,6
2015-10-11,3
2015-10-18,18
2015-10-25,3
2015-11-01,21
2015-11-08,10
2015-11-15,5
2015-11-22,8
2015-11-29,27
2015-12-06,2
2015-12-13,10
2015-12-20,15
2015-12-27,7
2016-01-03,9
2016-01-10,2
2016-01-17,24
2016-01-24,3
2016-01-31,10
2016-02-07,3
2016-02-14,16
2016-02-21,8
2016-02-28,2
2016-03-06,41
2016-03-13,14
2016-03-20,5
2016-03-27,4
2016-04-03,10
2016-04-10,4
2016-04-17,19
2016-04-24,4
2016-05-01,16
2016-05-08,0
2016-05-15,2
2016-05-22,2
2016-05-29,7
2016-06-05,7
2016-06-12,7
2016-06-19,14
2016-06-26,7
2016-07-03,10
2016-07-10,2
2016-07-17,12
2016-07-24,4
2016-07-31,2
2016-08-07,0
2016-08-14,5
2016-08-21,2
2016-08-28,6
2016-09-04,16
