date,Mario Draghi
2012-01-01,7
2012-01-08,12
2012-01-15,9
2012-01-22,7
2012-01-29,8
2012-02-05,9
2012-02-12,11
2012-02-19,13
2012-02-26,12
2012-03-04,8
2012-03-11,11
2012-03-18,8
2012-03-25,7
2012-04-01,7
2012-04-08,6
2012-04-15,7
2012-04-22,13
2012-04-29,11
2012-05-06,10
2012-05-13,6
2012-05-20,11
2012-05-27,13
2012-06-03,15
2012-06-10,10
2012-06-17,10
2012-06-24,5
2012-07-01,16
2012-07-08,9
2012-07-15,10
2012-07-22,39
2012-07-29,59
2012-08-05,24
2012-08-12,9
2012-08-19,14
2012-08-26,16
2012-09-02,82
2012-09-09,32
2012-09-16,14
2012-09-23,12
2012-09-30,11
2012-10-07,17
2012-10-14,8
2012-10-21,12
2012-10-28,91
2012-11-04,15
2012-11-11,13
2012-11-18,13
2012-11-25,13
2012-12-02,13
2012-12-09,14
2012-12-16,10
2012-12-23,10
2012-12-30,8
2013-01-06,26
2013-01-13,13
2013-01-20,12
2013-01-27,13
2013-02-03,13
2013-02-10,16
2013-02-17,15
2013-02-24,9
2013-03-03,10
2013-03-10,6
2013-03-17,13
2013-03-24,10
2013-03-31,9
2013-04-07,11
2013-04-14,16
2013-04-21,10
2013-04-28,17
2013-05-05,14
2013-05-12,9
2013-05-19,7
2013-05-26,4
2013-06-02,14
2013-06-09,5
2013-06-16,5
2013-06-23,6
2013-06-30,11
2013-07-07,8
2013-07-14,6
2013-07-21,5
2013-07-28,9
2013-08-04,5
2013-08-11,4
2013-08-18,2
2013-08-25,7
2013-09-01,8
2013-09-08,6
2013-09-15,9
2013-09-22,13
2013-09-29,5
2013-10-06,7
2013-10-13,6
2013-10-20,10
2013-10-27,10
2013-11-03,17
2013-11-10,6
2013-11-17,11
2013-11-24,5
2013-12-01,7
2013-12-08,8
2013-12-15,8
2013-12-22,5
2013-12-29,5
2014-01-05,9
2014-01-12,8
2014-01-19,7
2014-01-26,6
2014-02-02,7
2014-02-09,10
2014-02-16,7
2014-02-23,6
2014-03-02,5
2014-03-09,7
2014-03-16,8
2014-03-23,5
2014-03-30,18
2014-04-06,6
2014-04-13,7
2014-04-20,4
2014-04-27,7
2014-05-04,12
2014-05-11,7
2014-05-18,8
2014-05-25,19
2014-06-01,34
2014-06-08,8
2014-06-15,6
2014-06-22,5
2014-06-29,11
2014-07-06,6
2014-07-13,3
2014-07-20,2
2014-07-27,4
2014-08-03,10
2014-08-10,8
2014-08-17,10
2014-08-24,12
2014-08-31,41
2014-09-07,13
2014-09-14,6
2014-09-21,13
2014-09-28,27
2014-10-05,9
2014-10-12,17
2014-10-19,7
2014-10-26,11
2014-11-02,16
2014-11-09,11
2014-11-16,13
2014-11-23,14
2014-11-30,18
2014-12-07,11
2014-12-14,7
2014-12-21,5
2014-12-28,17
2015-01-04,17
2015-01-11,17
2015-01-18,92
2015-01-25,30
2015-02-01,16
2015-02-08,11
2015-02-15,11
2015-02-22,12
2015-03-01,17
2015-03-08,18
2015-03-15,18
2015-03-22,16
2015-03-29,11
2015-04-05,5
2015-04-12,101
2015-04-19,13
2015-04-26,11
2015-05-03,5
2015-05-10,9
2015-05-17,7
2015-05-24,11
2015-05-31,5
2015-06-07,6
2015-06-14,11
2015-06-21,8
2015-06-28,22
2015-07-05,32
2015-07-12,26
2015-07-19,7
2015-07-26,4
2015-08-02,4
2015-08-09,3
2015-08-16,4
2015-08-23,5
2015-08-30,15
2015-09-06,6
2015-09-13,6
2015-09-20,10
2015-09-27,8
2015-10-04,10
2015-10-11,6
2015-10-18,10
2015-10-25,6
2015-11-01,17
2015-11-08,13
2015-11-15,10
2015-11-22,9
2015-11-29,35
2015-12-06,7
2015-12-13,13
2015-12-20,7
2015-12-27,6
2016-01-03,7
2016-01-10,5
2016-01-17,27
2016-01-24,8
2016-01-31,11
2016-02-07,6
2016-02-14,18
2016-02-21,4
2016-02-28,8
2016-03-06,52
2016-03-13,15
2016-03-20,7
2016-03-27,8
2016-04-03,11
2016-04-10,9
2016-04-17,18
2016-04-24,8
2016-05-01,6
2016-05-08,7
2016-05-15,5
2016-05-22,7
2016-05-29,9
2016-06-05,8
2016-06-12,4
2016-06-19,9
2016-06-26,8
2016-07-03,13
2016-07-10,4
2016-07-17,13
2016-07-24,4
2016-07-31,3
2016-08-07,2
2016-08-14,4
2016-08-21,2
2016-08-28,4
2016-09-04,8
2016-09-11,6
2016-09-18,7
2016-09-25,12
2016-10-02,4
2016-10-09,4
2016-10-16,8
2016-10-23,5
2016-10-30,7
2016-11-06,8
2016-11-13,9
2016-11-20,4
2016-11-27,9
2016-12-04,19
2016-12-11,5
2016-12-18,4
2016-12-25,6
2017-01-01,5
