date,European Central Bank_unscaled,European Central Bank_monthly,isPartial,scale,European Central Bank
2012-01-01,0,36.0,False,0.36,0.0
2012-01-02,0,36.0,,0.36,0.0
2012-01-03,0,36.0,,0.36,0.0
2012-01-04,0,36.0,,0.36,0.0
2012-01-05,0,36.0,,0.36,0.0
2012-01-06,0,36.0,,0.36,0.0
2012-01-07,0,36.0,,0.36,0.0
2012-01-08,0,36.0,,0.36,0.0
2012-01-09,0,36.0,,0.36,0.0
2012-01-10,0,36.0,,0.36,0.0
2012-01-11,0,36.0,,0.36,0.0
2012-01-12,0,36.0,,0.36,0.0
2012-01-13,0,36.0,,0.36,0.0
2012-01-14,0,36.0,,0.36,0.0
2012-01-15,0,36.0,,0.36,0.0
2012-01-16,0,36.0,,0.36,0.0
2012-01-17,82,36.0,,0.36,29.52
2012-01-18,0,36.0,,0.36,0.0
2012-01-19,0,36.0,,0.36,0.0
2012-01-20,0,36.0,,0.36,0.0
2012-01-21,0,36.0,,0.36,0.0
2012-01-22,0,36.0,,0.36,0.0
2012-01-23,79,36.0,,0.36,28.439999999999998
2012-01-24,0,36.0,,0.36,0.0
2012-01-25,0,36.0,,0.36,0.0
2012-01-26,0,36.0,,0.36,0.0
2012-01-27,0,36.0,,0.36,0.0
2012-01-28,100,36.0,,0.36,36.0
2012-01-29,0,36.0,,0.36,0.0
2012-01-30,0,36.0,,0.36,0.0
2012-01-31,0,36.0,,0.36,0.0
2012-02-01,40,80.0,False,0.8,32.0
2012-02-02,40,80.0,,0.8,32.0
2012-02-03,0,80.0,,0.8,0.0
2012-02-04,100,80.0,,0.8,80.0
2012-02-05,0,80.0,,0.8,0.0
2012-02-06,0,80.0,,0.8,0.0
2012-02-07,0,80.0,,0.8,0.0
2012-02-08,40,80.0,,0.8,32.0
2012-02-09,0,80.0,,0.8,0.0
2012-02-10,42,80.0,,0.8,33.6
2012-02-11,49,80.0,,0.8,39.2
2012-02-12,0,80.0,,0.8,0.0
2012-02-13,0,80.0,,0.8,0.0
2012-02-14,40,80.0,,0.8,32.0
2012-02-15,0,80.0,,0.8,0.0
2012-02-16,40,80.0,,0.8,32.0
2012-02-17,0,80.0,,0.8,0.0
2012-02-18,0,80.0,,0.8,0.0
2012-02-19,0,80.0,,0.8,0.0
2012-02-20,42,80.0,,0.8,33.6
2012-02-21,40,80.0,,0.8,32.0
2012-02-22,0,80.0,,0.8,0.0
2012-02-23,0,80.0,,0.8,0.0
2012-02-24,0,80.0,,0.8,0.0
2012-02-25,0,80.0,,0.8,0.0
2012-02-26,50,80.0,,0.8,40.0
2012-02-27,0,80.0,,0.8,0.0
2012-02-28,39,80.0,,0.8,31.200000000000003
2012-02-29,0,80.0,,0.8,0.0
2012-03-01,34,62.0,False,0.62,21.08
2012-03-02,36,62.0,,0.62,22.32
2012-03-03,0,62.0,,0.62,0.0
2012-03-04,44,62.0,,0.62,27.28
2012-03-05,0,62.0,,0.62,0.0
2012-03-06,0,62.0,,0.62,0.0
2012-03-07,0,62.0,,0.62,0.0
2012-03-08,32,62.0,,0.62,19.84
2012-03-09,0,62.0,,0.62,0.0
2012-03-10,0,62.0,,0.62,0.0
2012-03-11,0,62.0,,0.62,0.0
2012-03-12,0,62.0,,0.62,0.0
2012-03-13,0,62.0,,0.62,0.0
2012-03-14,0,62.0,,0.62,0.0
2012-03-15,0,62.0,,0.62,0.0
2012-03-16,0,62.0,,0.62,0.0
2012-03-17,0,62.0,,0.62,0.0
2012-03-18,0,62.0,,0.62,0.0
2012-03-19,65,62.0,,0.62,40.3
2012-03-20,0,62.0,,0.62,0.0
2012-03-21,33,62.0,,0.62,20.46
2012-03-22,100,62.0,,0.62,62.0
2012-03-23,0,62.0,,0.62,0.0
2012-03-24,0,62.0,,0.62,0.0
2012-03-25,0,62.0,,0.62,0.0
2012-03-26,0,62.0,,0.62,0.0
2012-03-27,33,62.0,,0.62,20.46
2012-03-28,33,62.0,,0.62,20.46
2012-03-29,33,62.0,,0.62,20.46
2012-03-30,35,62.0,,0.62,21.7
2012-03-31,0,62.0,,0.62,0.0
