date,Euro_unscaled,Euro_monthly,isPartial,scale,Euro
2012-01-01,68,14.0,False,0.14,9.520000000000001
2012-01-02,71,14.0,,0.14,9.940000000000001
2012-01-03,90,14.0,,0.14,12.600000000000001
2012-01-04,73,14.0,,0.14,10.22
2012-01-05,89,14.0,,0.14,12.46
2012-01-06,90,14.0,,0.14,12.600000000000001
2012-01-07,74,14.0,,0.14,10.360000000000001
2012-01-08,72,14.0,,0.14,10.080000000000002
2012-01-09,91,14.0,,0.14,12.740000000000002
2012-01-10,82,14.0,,0.14,11.48
2012-01-11,94,14.0,,0.14,13.160000000000002
2012-01-12,74,14.0,,0.14,10.360000000000001
2012-01-13,88,14.0,,0.14,12.32
2012-01-14,100,14.0,,0.14,14.000000000000002
2012-01-15,80,14.0,,0.14,11.200000000000001
2012-01-16,100,14.0,,0.14,14.000000000000002
2012-01-17,90,14.0,,0.14,12.600000000000001
2012-01-18,94,14.0,,0.14,13.160000000000002
2012-01-19,75,14.0,,0.14,10.500000000000002
2012-01-20,70,14.0,,0.14,9.8
2012-01-21,59,14.0,,0.14,8.260000000000002
2012-01-22,68,14.0,,0.14,9.520000000000001
2012-01-23,82,14.0,,0.14,11.48
2012-01-24,89,14.0,,0.14,12.46
2012-01-25,86,14.0,,0.14,12.040000000000001
2012-01-26,81,14.0,,0.14,11.340000000000002
2012-01-27,84,14.0,,0.14,11.760000000000002
2012-01-28,79,14.0,,0.14,11.06
2012-01-29,86,14.0,,0.14,12.040000000000001
2012-01-30,88,14.0,,0.14,12.32
2012-01-31,95,14.0,,0.14,13.3
2012-02-01,100,13.0,False,0.13,13.0
2012-02-02,75,13.0,,0.13,9.75
2012-02-03,63,13.0,,0.13,8.19
2012-02-04,66,13.0,,0.13,8.58
2012-02-05,70,13.0,,0.13,9.1
2012-02-06,72,13.0,,0.13,9.36
2012-02-07,77,13.0,,0.13,10.01
2012-02-08,83,13.0,,0.13,10.790000000000001
2012-02-09,77,13.0,,0.13,10.01
2012-02-10,79,13.0,,0.13,10.27
2012-02-11,76,13.0,,0.13,9.88
2012-02-12,79,13.0,,0.13,10.27
2012-02-13,67,13.0,,0.13,8.71
2012-02-14,88,13.0,,0.13,11.440000000000001
2012-02-15,76,13.0,,0.13,9.88
2012-02-16,79,13.0,,0.13,10.27
2012-02-17,71,13.0,,0.13,9.23
2012-02-18,65,13.0,,0.13,8.450000000000001
2012-02-19,67,13.0,,0.13,8.71
2012-02-20,75,13.0,,0.13,9.75
2012-02-21,82,13.0,,0.13,10.66
2012-02-22,79,13.0,,0.13,10.27
2012-02-23,81,13.0,,0.13,10.530000000000001
2012-02-24,79,13.0,,0.13,10.27
2012-02-25,67,13.0,,0.13,8.71
2012-02-26,79,13.0,,0.13,10.27
2012-02-27,83,13.0,,0.13,10.790000000000001
2012-02-28,79,13.0,,0.13,10.27
2012-02-29,64,13.0,,0.13,8.32
2012-03-01,95,12.0,False,0.12,11.4
2012-03-02,98,12.0,,0.12,11.76
2012-03-03,87,12.0,,0.12,10.44
2012-03-04,90,12.0,,0.12,10.799999999999999
2012-03-05,97,12.0,,0.12,11.639999999999999
2012-03-06,92,12.0,,0.12,11.04
2012-03-07,88,12.0,,0.12,10.559999999999999
2012-03-08,89,12.0,,0.12,10.68
2012-03-09,89,12.0,,0.12,10.68
2012-03-10,65,12.0,,0.12,7.8
2012-03-11,78,12.0,,0.12,9.36
2012-03-12,94,12.0,,0.12,11.28
2012-03-13,89,12.0,,0.12,10.68
2012-03-14,89,12.0,,0.12,10.68
2012-03-15,86,12.0,,0.12,10.32
2012-03-16,84,12.0,,0.12,10.08
2012-03-17,81,12.0,,0.12,9.719999999999999
2012-03-18,72,12.0,,0.12,8.64
2012-03-19,88,12.0,,0.12,10.559999999999999
2012-03-20,72,12.0,,0.12,8.64
2012-03-21,96,12.0,,0.12,11.52
2012-03-22,97,12.0,,0.12,11.639999999999999
2012-03-23,86,12.0,,0.12,10.32
2012-03-24,96,12.0,,0.12,11.52
2012-03-25,76,12.0,,0.12,9.12
2012-03-26,79,12.0,,0.12,9.48
2012-03-27,100,12.0,,0.12,12.0
2012-03-28,93,12.0,,0.12,11.16
2012-03-29,79,12.0,,0.12,9.48
2012-03-30,92,12.0,,0.12,11.04
2012-03-31,77,12.0,,0.12,9.24
2012-04-01,61,12.0,False,0.12,7.319999999999999
2012-04-02,68,12.0,,0.12,8.16
2012-04-03,83,12.0,,0.12,9.959999999999999
2012-04-04,80,12.0,,0.12,9.6
2012-04-05,77,12.0,,0.12,9.24
2012-04-06,68,12.0,,0.12,8.16
2012-04-07,63,12.0,,0.12,7.56
2012-04-08,63,12.0,,0.12,7.56
2012-04-09,73,12.0,,0.12,8.76
2012-04-10,79,12.0,,0.12,9.48
2012-04-11,79,12.0,,0.12,9.48
2012-04-12,68,12.0,,0.12,8.16
2012-04-13,65,12.0,,0.12,7.8
2012-04-14,66,12.0,,0.12,7.92
2012-04-15,74,12.0,,0.12,8.879999999999999
2012-04-16,82,12.0,,0.12,9.84
2012-04-17,76,12.0,,0.12,9.12
2012-04-18,79,12.0,,0.12,9.48
2012-04-19,84,12.0,,0.12,10.08
2012-04-20,88,12.0,,0.12,10.559999999999999
2012-04-21,62,12.0,,0.12,7.4399999999999995
2012-04-22,91,12.0,,0.12,10.92
2012-04-23,91,12.0,,0.12,10.92
2012-04-24,90,12.0,,0.12,10.799999999999999
2012-04-25,97,12.0,,0.12,11.639999999999999
2012-04-26,83,12.0,,0.12,9.959999999999999
2012-04-27,100,12.0,,0.12,12.0
2012-04-28,74,12.0,,0.12,8.879999999999999
2012-04-29,86,12.0,,0.12,10.32
2012-04-30,76,12.0,,0.12,9.12
2012-05-01,45,19.0,False,0.19,8.55
2012-05-02,55,19.0,,0.19,10.45
